order_id,order_date,supplier,shipping_mode,product_category,order_value_eur,promised_lead_time_days,actual_lead_time_days,is_delayed,delay_days,is_defective,is_otif
ORD-10000,2025-04-13,Supplier A (Germany),Ocean Cargo,Raw Materials,682.1,14,12,False,0,False,True
ORD-10001,2025-12-15,Supplier D (India),Ocean Cargo,Industrial Components,7660.26,14,12,False,0,False,True
ORD-10002,2025-09-28,Supplier A (Germany),Ocean Cargo,Raw Materials,10470.96,30,28,False,0,False,True
ORD-10003,2025-04-17,Supplier C (USA),Ocean Cargo,Industrial Components,2988.13,14,19,True,5,False,False
ORD-10004,2025-03-13,Supplier D (India),Ocean Cargo,Raw Materials,10406.77,45,47,True,2,False,False
ORD-10005,2025-07-08,Supplier C (USA),Ocean Cargo,Raw Materials,2281.94,21,21,False,0,False,True
ORD-10006,2025-01-21,Supplier D (India),Express Courier,Heavy Machinery,2898.69,45,46,True,1,False,False
ORD-10007,2025-04-13,Supplier B (China),Air Freight,Heavy Machinery,2643.52,14,15,True,1,False,False
ORD-10008,2025-05-02,Supplier E (Vietnam),Air Freight,Industrial Components,10520.0,21,22,True,1,False,False
ORD-10009,2025-08-03,Supplier A (Germany),Air Freight,Electronics,1216.88,7,7,False,0,False,True
ORD-10010,2025-11-27,Supplier A (Germany),Air Freight,Heavy Machinery,18253.6,7,6,False,0,False,True
ORD-10011,2025-03-29,Supplier C (USA),Ocean Cargo,Raw Materials,3850.85,45,43,False,0,False,True
ORD-10012,2025-04-10,Supplier E (Vietnam),Air Freight,Heavy Machinery,8037.95,21,19,False,0,False,True
ORD-10013,2025-12-26,Supplier D (India),Express Courier,Heavy Machinery,7502.31,45,44,False,0,False,True
ORD-10014,2025-06-01,Supplier A (Germany),Air Freight,Industrial Components,5546.85,21,20,False,0,False,True
ORD-10015,2025-05-11,Supplier B (China),Air Freight,Heavy Machinery,3039.51,21,25,True,4,False,False
ORD-10016,2025-05-30,Supplier E (Vietnam),Ocean Cargo,Heavy Machinery,13278.45,45,44,False,0,False,True
ORD-10017,2025-11-05,Supplier B (China),Air Freight,Raw Materials,3255.56,21,21,False,0,False,True
ORD-10018,2025-09-15,Supplier D (India),Ocean Cargo,Heavy Machinery,2738.05,14,12,False,0,False,True
ORD-10019,2025-12-10,Supplier D (India),Ocean Cargo,Raw Materials,9918.61,21,21,False,0,False,True
ORD-10020,2025-10-21,Supplier B (China),Air Freight,Heavy Machinery,5522.58,21,26,True,5,False,False
ORD-10021,2025-07-11,Supplier B (China),Air Freight,Heavy Machinery,14563.26,45,56,True,11,False,False
ORD-10022,2025-10-04,Supplier B (China),Ocean Cargo,Electronics,4674.45,7,7,False,0,False,True
ORD-10023,2025-06-10,Supplier A (Germany),Air Freight,Heavy Machinery,2919.89,30,31,True,1,False,False
ORD-10024,2025-11-10,Supplier D (India),Air Freight,Raw Materials,6122.92,21,21,False,0,False,True
ORD-10025,2025-01-22,Supplier B (China),Air Freight,Raw Materials,3435.46,30,28,False,0,False,True
ORD-10026,2025-09-10,Supplier D (India),Air Freight,Industrial Components,2988.31,21,24,True,3,False,False
ORD-10027,2025-08-24,Supplier A (Germany),Ocean Cargo,Industrial Components,9561.6,45,49,True,4,False,False
ORD-10028,2025-12-11,Supplier E (Vietnam),Ocean Cargo,Electronics,21274.07,45,46,True,1,False,False
ORD-10029,2025-02-18,Supplier B (China),Ocean Cargo,Raw Materials,4035.28,21,24,True,3,False,False
ORD-10030,2025-02-28,Supplier A (Germany),Air Freight,Raw Materials,2253.43,45,49,True,4,False,False
ORD-10031,2025-06-19,Supplier A (Germany),Air Freight,Raw Materials,4346.97,45,44,False,0,False,True
ORD-10032,2025-07-07,Supplier D (India),Express Courier,Electronics,7419.31,21,28,True,7,False,False
ORD-10033,2025-09-28,Supplier C (USA),Ocean Cargo,Raw Materials,6038.94,7,6,False,0,False,True
ORD-10034,2025-07-09,Supplier D (India),Express Courier,Industrial Components,12776.79,21,21,False,0,False,True
ORD-10035,2025-06-24,Supplier A (Germany),Ocean Cargo,Electronics,8367.18,7,7,False,0,False,True
ORD-10036,2025-02-20,Supplier A (Germany),Ocean Cargo,Industrial Components,2033.01,45,46,True,1,False,False
ORD-10037,2025-12-30,Supplier B (China),Ocean Cargo,Industrial Components,3312.13,7,10,True,3,False,False
ORD-10038,2025-02-24,Supplier B (China),Ocean Cargo,Electronics,1628.37,45,56,True,11,False,False
ORD-10039,2025-09-01,Supplier B (China),Ocean Cargo,Heavy Machinery,12280.2,7,7,False,0,False,True
ORD-10040,2025-11-16,Supplier E (Vietnam),Ocean Cargo,Heavy Machinery,998.74,7,6,False,0,False,True
ORD-10041,2025-05-11,Supplier E (Vietnam),Air Freight,Industrial Components,1760.47,21,20,False,0,False,True
